
2024/02/26 (19:03:52) | ===> btop++ v.1.3.2
2024/02/26 (19:03:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/26 (23:08:48) | ===> btop++ v.1.3.2
2024/02/26 (23:08:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/26 (23:17:48) | ===> btop++ v.1.3.2
2024/02/26 (23:17:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/27 (08:02:01) | ===> btop++ v.1.3.2
2024/02/27 (08:02:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/27 (09:16:06) | ===> btop++ v.1.3.2
2024/02/27 (09:16:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/27 (16:00:01) | ===> btop++ v.1.3.2
2024/02/27 (16:00:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (08:30:24) | ===> btop++ v.1.3.2
2024/02/28 (08:30:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (18:51:56) | ===> btop++ v.1.3.2
2024/02/28 (18:51:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (21:11:14) | ===> btop++ v.1.3.2
2024/02/28 (21:11:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (21:12:43) | ===> btop++ v.1.3.2
2024/02/28 (21:12:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (21:15:36) | ===> btop++ v.1.3.2
2024/02/28 (21:15:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (21:24:19) | ===> btop++ v.1.3.2
2024/02/28 (21:24:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (21:31:50) | ===> btop++ v.1.3.2
